title,authors,year,summary,keywords
color vision,"Gegenfurtner, K. R. & Kiper, D. C.",2003,"this paper reviews the neural mechanisms underlying color perception in humans. it describes how the retina encodes color information using three types of cones (s, m, l) sensitive to different wavelengths. in the lateral geniculate nucleus (lgn) and visual cortex, signals are combined in opponent channels (red-green, blue-yellow, luminance) that construct color perception. it emphasizes that color perception is a distributed process, dependent on integration with shape, motion, and luminance.","color, perception, retina, lgn, opponent channels, visual cortex, hues, luminance, visual processing, shape-color integration"
a direct demonstration of functional specialization in human visual cortex,"Zeki, S.",1991,"this study demonstrates that the human visual cortex is organized into functionally specialized areas for processing different visual attributes, such as color, shape, and motion. using neuroimaging techniques, zeki shows that area v4 is primarily involved in color processing, while area v5 (mt) responds selectively to motion. these findings support the idea that visual perception emerges from the coordinated integration of multiple specialized modules.","visual cortex, functional specialization, v4 area, v5 area, color processing, motion processing, neuroimaging, visual perception, specialized modules"
three cortical stages of colour processing in the human brain,"Zeki, S.",1998,"this paper describes three cortical stages in color processing in the human brain. the first occurs in area v1, where neurons respond to simple color contrasts. the second stage, in area v2, integrates signals of different wavelengths. finally, the third stage, in area v4, represents stable and conscious color perception, independent of illumination. the work demonstrates that the experience of color is the result of a hierarchy of progressive processing through the visual cortex.","color processing, visual cortex, area v1, area v2, area v4, color perception, cortical hierarchy, color integration, visual experience"
the architecture of the colour centre in the human visual cortex,"Bartels, A. & Zeki, S.",2000,"this study analyzes the functional organization of area v4, considered the color center in the human visual cortex. using fmri, the authors show that v4 is not a single region, but a distributed set of subregions that respond selectively to different aspects of color, such as saturation, contrast, and color constancy. the results support the idea of a distributed cortical network dedicated to color processing, rather than a single module.","v4 area, color center, visual cortex, fmri, color processing, functional organization, subregions, saturation, contrast, color constancy"
categorical encoding of color in the brain,"Bird, C. M. et al.",2014,"this study investigates how the brain encodes colors into perceptual categories. using fmri, the authors found that regions of the occipital and temporal cortex respond differently to colors belonging to different linguistic categories, even when the physical differences are minimal. this suggests that color encoding depends not only on sensory perception, but also on cognitive and linguistic factors, demonstrating an interaction between visual perception and conceptual representation","color encoding, perceptual categories, fmri, occipital cortex, temporal cortex, sensory perception, cognitive factors, language, perception-concept interaction"
the response to colour in the human visual cortex: an fmri review,"Mullen, K. T.",2019,"this review analyzes fmri studies on how different areas of the human visual cortex respond to color stimuli. it confirms that areas v1, v2, and v4 show specific responses to color information, with v4 playing a central role in conscious color perception. the article also highlights the interaction between color, luminance, and attention, and how these variables modulate cortical activation. mullen proposes a hierarchical model where color perception emerges from a distributed network that integrates spatial and chromatic information","fmri, visual cortex, areas v1, v2, v4, color perception, luminance, attention, cortical activation, hierarchical model, distributed network"
human v4 activity patterns predict behavioral performance,"Bannert, M. M. & Bartels, A.",2018,"this study shows that neural activity in the v4 area of the human brain predicts performance on color-related perceptual tasks. using fmri and multivoxel analysis, the authors demonstrated that activation patterns in v4 contain sufficient information to distinguish perceived colors, even when physical differences in stimuli are small. this suggests that v4 not only passively encodes color, but also reflects the perceptual experience and behavioral performance associated with color","v4 area, perceptual performance, fmri, multivoxel analysis, color encoding, perceptual experience, behavioral performance, neural activation"
exploring the effect of red and blue on cognitive task performance,"Xia, T. et al.",2016,"this study analyzes how the colors red and blue influence cognitive performance. the results show that the color red tends to improve attention to detail and performance in precision tasks, while blue promotes creativity and abstract thinking. at the neurophysiological level, differences in cortical activation related to emotional modulation and cognitive load are observed. these findings support the idea that colors can systematically modulate mental states and executive functions","colors, cognitive performance, attention, creativity, cortical activation, emotional modulation, cognitive load, executive functions, red color, blue color"
the processing of color preference in the brain,"Racey, C. et al.",2019,"this study investigates how the brain processes color preferences and which neural areas are involved. using fmri, the authors identified greater activation in regions of the visual cortex (v4) and areas associated with the reward system, such as the ventral striatum, when participants viewed colors they reported as preferred. the results suggest that color preference integrates both visual perception and affective processes, connecting visual aesthetics with motivation and pleasure","color preference, fmri, visual cortex, v4 area, reward system, ventral striatum, visual perception, affective processes, visual aesthetics, motivation"
toward a unified theory of visual area v4,"Roe, A. W. et al.",2012,"this paper proposes a unified theory on the function of the v4 visual area, integrating findings on color, shape, and attention. the authors review neurophysiological and neuroimaging evidence indicating that v4 is not only specialized in color processing, but also participates in the encoding of shape, texture, and spatial organization of visual stimuli. it is proposed that v4 acts as an integrative center that combines chromatic and geometric information, facilitating the coherent perception of objects","v4 area, unified theory, color processing, shape coding, texture, spatial organization, information integration, object perception, neurophysiology, neuroimaging"
